"year","total_abundance","richness","total_biomass"
1979,193,29,11120
1980,898,107,57032.807961429
1981,921,102,60456.50921011
1982,1535,110,82518.150793882
1983,1578,125,87668.34846726
1984,755,98,38479.00221252
1985,1141,103,53536.29129889
1986,880,93,48591.13715408
1987,1553,111,77000.49264029
1988,1356,138,61649.95629788
1989,1473,145,53410.15461866
1990,1229,154,43789.64843378
1991,1278,134,41085.247275174
1992,945,135,31453.463768023
1993,675,117,23014.812149376
1994,570,88,19921.087469936
1995,1121,109,33512.461349446
1996,1643,113,46390.275361195
1997,2436,132,77712.556614223
1998,1468,104,51362.254212287
1999,945,76,34059.27342178
2000,1243,71,40362.40826864
2001,1104,64,40184.081746173
2002,2086,114,74765.44969398
2003,2865,142,90043.05237584
2004,907,60,28846.49840969
2005,1645,84,46520.624124643
2006,1981,102,58055.45188452
2007,4112,135,137779.468044181
2008,2718,177,99456.54764177
2009,1180,124,42479.55952802
2010,429,51,12803.85819512
2011,1122,49,25463.56224088
2012,2221,94,56230.76037925
2013,1355,73,40863.26440329
2014,2377,111,68824.292178828
2015,3505,157,101715.83501269
2016,1277,104,41896.594815652
2017,1804,117,60568.63850019
2018,895,68,25953.56741986
